"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","01-Apr-2019","25-Apr-2019","11114.5","11180.15","10933.9","10975.95","10935.1","10975.95","909","5034.98","319900","-4550","      10915.15"
"NESTLEIND","01-Apr-2019","30-May-2019","11174","11174","11134.05","11156.45","11156.45","11054","7","39.04","650","50","      10915.15"
"NESTLEIND","01-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11120.55","0","0","0","0","      10915.15"
"NESTLEIND","02-Apr-2019","25-Apr-2019","10875.8","10983.2","10750","10836","10820","10836","883","4783.55","315850","-4050","      10786.80"
"NESTLEIND","02-Apr-2019","30-May-2019","10878","10880","10878","10880","10880","10910.05","2","10.88","650","0","      10786.80"
"NESTLEIND","02-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","10970.1","0","0","0","0","      10786.80"
"NESTLEIND","03-Apr-2019","25-Apr-2019","10970.8","11119.1","10820.95","11056.6","11059.45","11056.6","1266","6977.5","325450","9600","      11003.75"
"NESTLEIND","03-Apr-2019","30-May-2019","11066","11126.7","11066","11126.65","11126.65","11127.15","20","111.14","1350","700","      11003.75"
"NESTLEIND","03-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11188.25","0","0","0","0","      11003.75"
"NESTLEIND","04-Apr-2019","25-Apr-2019","10970.65","11149.45","10917.45","11013.15","11014.95","11013.15","680","3743.5","317950","-7500","      10961.85"
"NESTLEIND","04-Apr-2019","30-May-2019","0","0","0","11126.65","11126.65","11081.75","0","0","1350","0","      10961.85"
"NESTLEIND","04-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11142.2","0","0","0","0","      10961.85"
"NESTLEIND","05-Apr-2019","25-Apr-2019","11037.6","11164.7","10933.5","11065.95","11089.5","11065.95","710","3928.69","323300","5350","      10980.75"
"NESTLEIND","05-Apr-2019","30-May-2019","11160.6","11160.6","11160.6","11160.6","11160.6","11095.85","2","11.16","1350","0","      10980.75"
"NESTLEIND","05-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11154.95","0","0","0","0","      10980.75"
"NESTLEIND","08-Apr-2019","25-Apr-2019","10991.4","11094.2","10888.25","10930.05","10899.95","10930.05","693","3797.37","322800","-500","      10850.60"
"NESTLEIND","08-Apr-2019","30-May-2019","11066.3","11066.3","10990","10990","10990","10957.65","21","115.19","2300","950","      10850.60"
"NESTLEIND","08-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11015.7","0","0","0","0","      10850.60"
"NESTLEIND","09-Apr-2019","25-Apr-2019","10958.6","10958.6","10818.85","10866.95","10863.4","10866.95","1086","5902.65","328250","5450","      10790.05"
"NESTLEIND","09-Apr-2019","30-May-2019","10936.95","10944.45","10900","10944.45","10944.45","10894.45","4","21.86","2350","50","      10790.05"
"NESTLEIND","09-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","10952.2","0","0","0","0","      10790.05"
"NESTLEIND","10-Apr-2019","25-Apr-2019","10900","10930","10802.05","10902.6","10887.05","10902.6","1030","5601.57","327300","-950","      10811.95"
"NESTLEIND","10-Apr-2019","30-May-2019","10944.45","10972.25","10900","10964.35","10964.35","10964.35","17","92.84","2650","300","      10811.95"
"NESTLEIND","10-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","10972.8","0","0","0","0","      10811.95"
"NESTLEIND","11-Apr-2019","25-Apr-2019","10883.2","10970","10753","10842.25","10840","10842.25","1151","6243.95","331350","4050","      10764.10"
"NESTLEIND","11-Apr-2019","30-May-2019","10805.2","10884.95","10805.2","10878.55","10884.95","10878.55","24","130.78","3700","1050","      10764.10"
"NESTLEIND","11-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","10922.2","0","0","0","0","      10764.10"
"NESTLEIND","12-Apr-2019","25-Apr-2019","10865","11044.8","10839.85","11023.6","11001.1","11023.6","962","5283.57","332600","1250","      10973.80"
"NESTLEIND","12-Apr-2019","30-May-2019","11024.55","11071.25","11024.55","11071.25","11071.25","11074","18","99.34","4250","550","      10973.80"
"NESTLEIND","12-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11132.85","0","0","0","0","      10973.80"
"NESTLEIND","15-Apr-2019","25-Apr-2019","11080","11137.15","10930.8","10978.2","10972","10978.2","912","5020.9","322650","-9950","      10970.10"
"NESTLEIND","15-Apr-2019","30-May-2019","11044.35","11117.25","11004.45","11012.2","11004.45","11012.2","25","138.17","5150","900","      10970.10"
"NESTLEIND","15-Apr-2019","27-Jun-2019","0","0","0","11282.7","0","11122.8","0","0","0","0","      10970.10"
"NESTLEIND","16-Apr-2019","25-Apr-2019","11050.15","11239.85","11050","11166.5","11160.6","11166.5","920","5132.82","318000","-4650","      11155.80"
"NESTLEIND","16-Apr-2019","30-May-2019","11150","11293.45","11100","11218.9","11221.3","11218.9","42","235.45","5650","500","      11155.80"
