"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","02-Mar-2020","26-Mar-2020","15989","16307.9","15931.05","16095.8","16189.95","16095.8","2963","23922.45","480550","-10000","      16109.95"
"NESTLEIND","02-Mar-2020","30-Apr-2020","16087.85","16329.8","16066.95","16113.65","16066.95","16113.65","13","104.95","1200","400","      16109.95"
"NESTLEIND","02-Mar-2020","28-May-2020","0","0","0","16499","0","16319.1","0","0","0","0","      16109.95"
"NESTLEIND","03-Mar-2020","26-Mar-2020","16327.5","16480","16163.4","16366.75","16407.85","16366.75","2438","19914.53","477500","-3050","      16359.40"
"NESTLEIND","03-Mar-2020","30-Apr-2020","16345.25","16499","16345.25","16477.25","16477.25","16477.25","33","271.21","2400","1200","      16359.40"
"NESTLEIND","03-Mar-2020","28-May-2020","0","0","0","16499","0","16568.25","0","0","0","0","      16359.40"
"NESTLEIND","04-Mar-2020","26-Mar-2020","16415","16675.8","16069.35","16557.1","16558.6","16557.1","2906","23764.72","474750","-2750","      16541.50"
"NESTLEIND","04-Mar-2020","30-Apr-2020","16466.4","16700","16149","16631.45","16700","16631.45","53","435.21","3350","950","      16541.50"
"NESTLEIND","04-Mar-2020","28-May-2020","0","0","0","16499","0","16750.65","0","0","0","0","      16541.50"
"NESTLEIND","05-Mar-2020","26-Mar-2020","16580","16846.9","16520.1","16583.05","16580","16583.05","2071","17224.33","478750","4000","      16576.30"
"NESTLEIND","05-Mar-2020","30-Apr-2020","16717.4","16785","16633.9","16669.4","16669.4","16714.05","26","217.37","3950","600","      16576.30"
"NESTLEIND","05-Mar-2020","28-May-2020","0","0","0","16499","0","16783.45","0","0","0","0","      16576.30"
"NESTLEIND","06-Mar-2020","26-Mar-2020","16310","16589.85","16212.75","16460.2","16434.15","16460.2","1977","16225.11","479300","550","      16429.30"
"NESTLEIND","06-Mar-2020","30-Apr-2020","16550","16647.45","16400","16534.4","16540.55","16534.4","51","421.12","5350","1400","      16429.30"
"NESTLEIND","06-Mar-2020","28-May-2020","0","0","0","16499","0","16632.25","0","0","0","0","      16429.30"
"NESTLEIND","09-Mar-2020","26-Mar-2020","16300","16375.25","15676.45","16031","16040.1","16031","2607","20840.92","463500","-15800","      16031.35"
"NESTLEIND","09-Mar-2020","30-Apr-2020","16306.5","16309.15","15788.8","16111.55","16119.95","16111.55","50","401.98","4850","-500","      16031.35"
"NESTLEIND","09-Mar-2020","28-May-2020","0","0","0","16499","0","16222.8","0","0","0","0","      16031.35"
"NESTLEIND","11-Mar-2020","26-Mar-2020","15971.3","16186.15","15735.45","16091.35","16092","16091.35","2349","18776.86","450000","-13500","      16048.55"
"NESTLEIND","11-Mar-2020","30-Apr-2020","16120","16220.7","15850","16202","16194.75","16202","41","330.23","5350","500","      16048.55"
"NESTLEIND","11-Mar-2020","28-May-2020","0","0","0","16499","0","16234.9","0","0","0","0","      16048.55"
"NESTLEIND","12-Mar-2020","26-Mar-2020","15891.45","15891.45","15080.15","15526.3","15602.75","15526.3","4823","37143.73","435350","-14650","      15565.55"
"NESTLEIND","12-Mar-2020","30-Apr-2020","15860.15","15868.65","15192","15590.9","15735.35","15590.9","75","579.02","6000","650","      15565.55"
"NESTLEIND","12-Mar-2020","28-May-2020","15283.65","15554.65","15210.45","15382.55","15554.65","15382.55","3","23.02","100","100","      15565.55"
"NESTLEIND","13-Mar-2020","26-Mar-2020","15383.4","15660","13975","15002.05","15009.9","15002.05","4536","33789.86","436950","1600","      14991.80"
"NESTLEIND","13-Mar-2020","30-Apr-2020","15000.7","15540.5","14200","15062.1","15012.2","15062.1","136","1012.87","6400","400","      14991.80"
"NESTLEIND","13-Mar-2020","28-May-2020","15382.55","15382.55","15123.1","15162.9","15162.9","15162.9","3","22.83","100","0","      14991.80"
