"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","03-Jun-2019","27-Jun-2019","11570","11768.25","11570","11736.55","11755.85","11736.55","1266","7395.92","295650","11700","      11686.45"
"NESTLEIND","03-Jun-2019","25-Jul-2019","11633.75","11742.5","11633.75","11742.5","11742.5","11742.5","14","81.8","1000","500","      11686.45"
"NESTLEIND","03-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11881.7","0","0","0","0","      11686.45"
"NESTLEIND","04-Jun-2019","27-Jun-2019","11708.7","11765","11481","11620.1","11670","11620.1","1879","10867.83","307500","11850","      11552.35"
"NESTLEIND","04-Jun-2019","25-Jul-2019","11600.05","11601","11568.6","11568.6","11568.6","11664.6","6","34.79","950","-50","      11552.35"
"NESTLEIND","04-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11742.25","0","0","0","0","      11552.35"
"NESTLEIND","06-Jun-2019","27-Jun-2019","11600","11745.1","11575.35","11675.6","11684.7","11675.6","1348","7878.1","304950","-2550","      11603.30"
"NESTLEIND","06-Jun-2019","25-Jul-2019","11770.5","11770.5","11719.95","11720","11720","11720","6","35.24","1150","200","      11603.30"
"NESTLEIND","06-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11787.95","0","0","0","0","      11603.30"
"NESTLEIND","07-Jun-2019","27-Jun-2019","11648.95","11660.75","11493.85","11529.95","11500","11529.95","1071","6186.89","302300","-2650","      11503.85"
"NESTLEIND","07-Jun-2019","25-Jul-2019","11680","11680","11562.35","11578.05","11578","11578.05","14","81.19","900","-250","      11503.85"
"NESTLEIND","07-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11680.75","0","0","0","0","      11503.85"
"NESTLEIND","10-Jun-2019","27-Jun-2019","11580","11780","11385","11754.85","11774.65","11754.85","1204","7046.23","309900","7600","      11698.40"
"NESTLEIND","10-Jun-2019","25-Jul-2019","11695.95","11800","11695.95","11800","11800","11800","11","64.51","1200","300","      11698.40"
"NESTLEIND","10-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11871.75","0","0","0","0","      11698.40"
"NESTLEIND","11-Jun-2019","27-Jun-2019","11848.4","11884.15","11529.15","11659.65","11618.05","11659.65","1757","10269.69","311150","1250","      11622.95"
"NESTLEIND","11-Jun-2019","25-Jul-2019","11850","11863.05","11600","11695.05","11695","11695.05","29","169.75","1400","200","      11622.95"
"NESTLEIND","11-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11793","0","0","0","0","      11622.95"
"NESTLEIND","12-Jun-2019","27-Jun-2019","11669","11760","11568.5","11724.25","11695.05","11724.25","1000","5845.38","309800","-1350","      11695.50"
"NESTLEIND","12-Jun-2019","25-Jul-2019","11700","11778.3","11700","11776.3","11774.15","11776.3","44","258.52","2300","900","      11695.50"
"NESTLEIND","12-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11864.45","0","0","0","0","      11695.50"
"NESTLEIND","13-Jun-2019","27-Jun-2019","11680","11706.7","11603","11667.55","11660","11667.55","795","4633.07","317550","7750","      11613.75"
"NESTLEIND","13-Jun-2019","25-Jul-2019","11730.65","11730.7","11671.75","11705","11705","11703.8","42","245.66","3550","1250","      11613.75"
"NESTLEIND","13-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11779.35","0","0","0","0","      11613.75"
"NESTLEIND","14-Jun-2019","27-Jun-2019","11621.8","11745.6","11500","11528.9","11552.05","11528.9","979","5679.37","309600","-7950","      11489.00"
"NESTLEIND","14-Jun-2019","25-Jul-2019","11775.95","11779.55","11565","11601.1","11580","11601.1","86","501.24","5650","2100","      11489.00"
"NESTLEIND","14-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11650.4","0","0","0","0","      11489.00"
"NESTLEIND","17-Jun-2019","27-Jun-2019","11505.15","11649.65","11424.95","11514.4","11492.05","11514.4","992","5723.1","304600","-5000","      11480.85"
"NESTLEIND","17-Jun-2019","25-Jul-2019","11657.1","11657.1","11554","11587","11576.95","11587","109","632.42","5100","-550","      11480.85"
"NESTLEIND","17-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11636","0","0","0","0","      11480.85"
"NESTLEIND","18-Jun-2019","27-Jun-2019","11619","11619","11308.95","11460.65","11443.65","11460.65","1528","8732.76","303000","-1600","      11457.60"
"NESTLEIND","18-Jun-2019","25-Jul-2019","11794.8","11794.8","11368.05","11524.35","11517.45","11524.35","48","275.95","5450","350","      11457.60"
"NESTLEIND","18-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11610.05","0","0","0","0","      11457.60"
"NESTLEIND","19-Jun-2019","27-Jun-2019","11450","11672.95","11450","11628.6","11621.3","11628.6","1601","9284.64","296200","-6800","      11611.70"
"NESTLEIND","19-Jun-2019","25-Jul-2019","11589.8","11730","11589.65","11704.05","11730","11704.05","57","332.45","6650","1200","      11611.70"
"NESTLEIND","19-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11764.25","0","0","0","0","      11611.70"
"NESTLEIND","20-Jun-2019","27-Jun-2019","11600","11768","11501.7","11723.3","11704.3","11723.3","1263","7370.69","303150","6950","      11718.05"
"NESTLEIND","20-Jun-2019","25-Jul-2019","11617.55","11815.5","11577.7","11775.45","11757.35","11775.45","83","486.22","8200","1550","      11718.05"
"NESTLEIND","20-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11869.85","0","0","0","0","      11718.05"
"NESTLEIND","21-Jun-2019","27-Jun-2019","11662.05","11793.9","11572.1","11641.6","11700","11641.6","1469","8582.15","309700","6550","      11600.90"
"NESTLEIND","21-Jun-2019","25-Jul-2019","11718.6","11849.45","11632.7","11678.25","11744.65","11678.25","117","687.38","10700","2500","      11600.90"
"NESTLEIND","21-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11749.25","0","0","0","0","      11600.90"
"NESTLEIND","24-Jun-2019","27-Jun-2019","11624.85","11771.05","11624.85","11700.8","11694.8","11700.8","1219","7132.03","275400","-34300","      11712.00"
"NESTLEIND","24-Jun-2019","25-Jul-2019","11716.85","11828.95","11716.85","11752.1","11764.1","11752.1","887","5215.55","50500","39800","      11712.00"
"NESTLEIND","24-Jun-2019","29-Aug-2019","0","0","0","11520.1","0","11855","0","0","0","0","      11712.00"
"NESTLEIND","25-Jun-2019","27-Jun-2019","11675.2","11750","11602.15","11736.45","11732","11736.45","1970","11534.4","200150","-75250","      11705.85"
"NESTLEIND","25-Jun-2019","25-Jul-2019","11799","11817.95","11502.85","11800.45","11786","11800.45","1806","10632.73","124250","73750","      11705.85"
