"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","01-Jul-2019","25-Jul-2019","12065.85","12074.5","11907.95","11929.4","11951.05","11929.4","1146","6874.84","330200","7950","      11868.75"
"NESTLEIND","01-Jul-2019","29-Aug-2019","12072.35","12081.05","12069.95","12070","12070","11999.15","8","48.29","1200","350","      11868.75"
"NESTLEIND","01-Jul-2019","26-Sep-2019","0","0","0","12003.5","0","12061.55","0","0","0","0","      11868.75"
"NESTLEIND","02-Jul-2019","25-Jul-2019","11931","12082.65","11862.9","12043.35","12035","12043.35","1321","7925.01","334900","4700","      11964.85"
"NESTLEIND","02-Jul-2019","29-Aug-2019","12100","12100","12090","12090","12090","12093.9","8","48.4","1250","50","      11964.85"
"NESTLEIND","02-Jul-2019","26-Sep-2019","0","0","0","12003.5","0","12156.7","0","0","0","0","      11964.85"
"NESTLEIND","03-Jul-2019","25-Jul-2019","12043.35","12050.9","11868.45","11901.1","11885","11901.1","1478","8824.01","351800","16900","      11819.15"
"NESTLEIND","03-Jul-2019","29-Aug-2019","0","0","0","12090","12090","11944.25","0","0","1250","0","      11819.15"
"NESTLEIND","03-Jul-2019","26-Sep-2019","0","0","0","12003.5","0","12006.15","0","0","0","0","      11819.15"
"NESTLEIND","04-Jul-2019","25-Jul-2019","11916.65","12034.95","11916.65","11956.6","11970","11956.6","977","5848.28","347800","-4000","      11884.45"
"NESTLEIND","04-Jul-2019","29-Aug-2019","12029.95","12052.45","11990.65","11990.65","11990.65","11990.65","7","42.1","1550","300","      11884.45"
"NESTLEIND","04-Jul-2019","26-Sep-2019","0","0","0","12003.5","0","12069.95","0","0","0","0","      11884.45"
"NESTLEIND","05-Jul-2019","25-Jul-2019","11989.75","12078.65","11880","12000.6","11971","12000.6","928","5565.98","348950","1150","      11956.90"
"NESTLEIND","05-Jul-2019","29-Aug-2019","12029.6","12100","12024.95","12024.95","12024.95","12024.95","8","48.29","1750","200","      11956.90"
"NESTLEIND","05-Jul-2019","26-Sep-2019","0","0","0","12003.5","0","12140.2","0","0","0","0","      11956.90"
"NESTLEIND","08-Jul-2019","25-Jul-2019","11932","11937.1","11768.1","11815","11800","11815","1233","7293.96","348250","-700","      11801.45"
"NESTLEIND","08-Jul-2019","29-Aug-2019","11881.9","11881.9","11828.95","11868.95","11868.95","11868.95","3","17.79","1750","0","      11801.45"
"NESTLEIND","08-Jul-2019","26-Sep-2019","11565.7","11565.7","11565.7","11565.7","11565.7","11976.3","1","5.78","50","50","      11801.45"
"NESTLEIND","09-Jul-2019","25-Jul-2019","11815","11830","11649","11707.8","11680","11707.8","1232","7232.25","346700","-1550","      11687.05"
"NESTLEIND","09-Jul-2019","29-Aug-2019","11768.1","11810","11761.45","11810","11810","11797.8","9","53.04","1600","-150","      11687.05"
"NESTLEIND","09-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11859.05","0","0","50","0","      11687.05"
"NESTLEIND","10-Jul-2019","25-Jul-2019","11702.85","11810.05","11580","11601.2","11585","11601.2","1334","7787.73","346200","-500","      11550.45"
"NESTLEIND","10-Jul-2019","29-Aug-2019","11787.15","11787.15","11640","11643","11646","11643","10","58.57","1500","-100","      11550.45"
"NESTLEIND","10-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11718.8","0","0","50","0","      11550.45"
"NESTLEIND","11-Jul-2019","25-Jul-2019","11650","11650","11525","11561.55","11590.2","11561.55","1293","7478.89","351800","5600","      11506.80"
"NESTLEIND","11-Jul-2019","29-Aug-2019","11630.45","11652","11595.25","11614.35","11614.35","11612.05","9","52.3","1500","0","      11506.80"
"NESTLEIND","11-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11672.6","0","0","50","0","      11506.80"
"NESTLEIND","12-Jul-2019","25-Jul-2019","11619.95","11738.05","11576.25","11702.6","11655","11702.6","850","4968.39","357950","6150","      11672.15"
"NESTLEIND","12-Jul-2019","29-Aug-2019","11649.6","11769.85","11649.6","11769.85","11769.8","11769.85","13","76.23","1500","0","      11672.15"
"NESTLEIND","12-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11838.1","0","0","50","0","      11672.15"
"NESTLEIND","15-Jul-2019","25-Jul-2019","11685.7","11685.7","11496.05","11513.55","11510","11513.55","873","5044.33","357100","-850","      11484.45"
"NESTLEIND","15-Jul-2019","29-Aug-2019","11584.5","11598.35","11563","11569.65","11563","11569.65","9","52.13","1600","100","      11484.45"
"NESTLEIND","15-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11640.35","0","0","50","0","      11484.45"
"NESTLEIND","16-Jul-2019","25-Jul-2019","11547","11775","11502","11752.95","11730","11752.95","957","5584.28","366700","9600","      11708.65"
"NESTLEIND","16-Jul-2019","29-Aug-2019","11589.95","11808","11589.95","11792.7","11777.7","11792.7","56","327.14","3450","1850","      11708.65"
"NESTLEIND","16-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11865.15","0","0","50","0","      11708.65"
"NESTLEIND","17-Jul-2019","25-Jul-2019","11694.45","11774.65","11615.35","11737.55","11735","11737.55","901","5276.84","371200","4500","      11695.40"
"NESTLEIND","17-Jul-2019","29-Aug-2019","11800","11800","11660.05","11771.75","11797.15","11771.75","44","258.88","4650","1200","      11695.40"
"NESTLEIND","17-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11849.3","0","0","50","0","      11695.40"
"NESTLEIND","18-Jul-2019","25-Jul-2019","11730.4","11761.85","11550.05","11608.65","11645.05","11608.65","1083","6292.11","363250","-7950","      11596.75"
"NESTLEIND","18-Jul-2019","29-Aug-2019","11771.75","11778.6","11611.15","11682","11682","11682","45","262.9","4600","-50","      11596.75"
"NESTLEIND","18-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11746.75","0","0","50","0","      11596.75"
"NESTLEIND","19-Jul-2019","25-Jul-2019","11632.65","11727","11521.25","11558.95","11589.95","11558.95","1247","7229.07","357450","-5800","      11547.05"
"NESTLEIND","19-Jul-2019","29-Aug-2019","11720.45","11775.5","11568.85","11599.25","11625","11599.25","206","1198.93","11150","6550","      11547.05"
"NESTLEIND","19-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11693.8","0","0","50","0","      11547.05"
"NESTLEIND","22-Jul-2019","25-Jul-2019","11525.95","11573.95","11284.4","11331.75","11358","11331.75","1584","9031.22","339400","-18050","      11304.70"
"NESTLEIND","22-Jul-2019","29-Aug-2019","11541.3","11599","11340.3","11374","11402.95","11374","848","4857.87","33100","21950","      11304.70"
"NESTLEIND","22-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11442.3","0","0","50","0","      11304.70"
"NESTLEIND","23-Jul-2019","25-Jul-2019","11370","11686.1","11356.65","11481.55","11493.95","11481.55","2491","14348.89","278700","-60700","      11470.75"
"NESTLEIND","23-Jul-2019","29-Aug-2019","11410.65","11717.15","11400","11523.75","11526.5","11523.75","1647","9519.51","83550","50450","      11470.75"
"NESTLEIND","23-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11607.85","0","0","50","0","      11470.75"
"NESTLEIND","24-Jul-2019","25-Jul-2019","11500.25","11585.95","11295.1","11471.75","11517.5","11471.75","2518","14382.88","186300","-92400","      11479.90"
"NESTLEIND","24-Jul-2019","29-Aug-2019","11600","11624.2","11325.95","11510.15","11550","11510.15","2434","13948.14","175200","91650","      11479.90"
"NESTLEIND","24-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11614.75","0","0","50","0","      11479.90"
"NESTLEIND","25-Jul-2019","25-Jul-2019","11527.25","11649.9","11417.75","11494.35","11495.2","11495","3790","21818.89","19800","-166500","      11495.00"
"NESTLEIND","25-Jul-2019","29-Aug-2019","11536.2","11680","11456.05","11537.05","11539.9","11537.05","4114","23758.9","342350","167150","      11495.00"
"NESTLEIND","25-Jul-2019","26-Sep-2019","0","0","0","11565.7","11565.7","11627.7","0","0","50","0","      11495.00"
