"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","01-Aug-2019","29-Aug-2019","11670.15","11670.15","11451","11593","11600","11593","921","5314.73","346450","2100","      11547.00"
"NESTLEIND","01-Aug-2019","26-Sep-2019","0","0","0","11753.25","11753.25","11663.7","0","0","550","0","      11547.00"
"NESTLEIND","01-Aug-2019","31-Oct-2019","0","0","0","11702.1","0","11737.3","0","0","0","0","      11547.00"
"NESTLEIND","02-Aug-2019","29-Aug-2019","11480.25","11575.2","11375.4","11470.8","11461","11470.8","1446","8290.5","352900","6300","      11411.50"
"NESTLEIND","02-Aug-2019","26-Sep-2019","11480.7","11485","11480.65","11485","11485","11525.55","3","17.22","500","-50","      11411.50"
"NESTLEIND","02-Aug-2019","31-Oct-2019","0","0","0","11702.1","0","11598.25","0","0","0","0","      11411.50"
"NESTLEIND","05-Aug-2019","29-Aug-2019","11610.25","11813.3","11459.1","11591.45","11665.6","11591.45","2858","16581.53","380550","27500","      11712.80"
"NESTLEIND","05-Aug-2019","26-Sep-2019","11666.55","11676.75","11525.65","11525.65","11525.65","11822.85","9","52.4","700","200","      11712.80"
"NESTLEIND","05-Aug-2019","31-Oct-2019","0","0","0","11702.1","0","11897.3","0","0","0","0","      11712.80"
"NESTLEIND","06-Aug-2019","29-Aug-2019","11584.3","11861.6","11560.1","11682.8","11650","11682.8","1948","11410.36","370600","-10100","      11837.55"
"NESTLEIND","06-Aug-2019","26-Sep-2019","11720","11849","11720","11841.45","11841.45","11945.9","12","70.85","1000","300","      11837.55"
"NESTLEIND","06-Aug-2019","31-Oct-2019","11800","11800","11800","11800","11800","12020.95","1","5.9","50","50","      11837.55"
"NESTLEIND","07-Aug-2019","29-Aug-2019","11636.95","11756.2","11594.1","11619.1","11629.8","11619.1","753","4391.16","364100","-6650","      11777.45"
"NESTLEIND","07-Aug-2019","26-Sep-2019","0","0","0","11841.45","11841.45","11882.2","0","0","1000","0","      11777.45"
"NESTLEIND","07-Aug-2019","31-Oct-2019","0","0","0","11800","11800","11956.15","0","0","50","0","      11777.45"
"NESTLEIND","08-Aug-2019","29-Aug-2019","11662","11756.75","11610","11696.55","11691","11696.55","644","3763.48","364050","-200","      11840.25"
"NESTLEIND","08-Aug-2019","26-Sep-2019","11751.85","11751.85","11751.85","11751.85","11751.85","11940.6","1","5.88","1050","50","      11840.25"
"NESTLEIND","08-Aug-2019","31-Oct-2019","0","0","0","11800","11800","12012.6","0","0","50","0","      11840.25"
"NESTLEIND","09-Aug-2019","29-Aug-2019","11789.45","12284.45","11744.05","12013.75","11980.1","12013.75","2779","16718.5","366350","2150","      11993.30"
