"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"NESTLEIND","01-Oct-2019","31-Oct-2019","13900","13969","13745.9","13778.6","13790.1","13778.6","1626","11253","554850","8550","      13681.55"
"NESTLEIND","01-Oct-2019","28-Nov-2019","13903.55","13906.75","13903.55","13906.75","13906.75","13815.35","3","20.86","850","150","      13681.55"
"NESTLEIND","01-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","13880.45","0","0","0","0","      13681.55"
"NESTLEIND","03-Oct-2019","31-Oct-2019","13630","13790","13622.35","13747.4","13740.1","13747.4","847","5808.19","552900","-1950","      13709.85"
"NESTLEIND","03-Oct-2019","28-Nov-2019","0","0","0","13906.75","13906.75","13839","0","0","850","0","      13709.85"
"NESTLEIND","03-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","13904","0","0","0","0","      13709.85"
"NESTLEIND","04-Oct-2019","31-Oct-2019","13743","13809.9","13424.95","13539.9","13582.4","13539.9","1728","11711.17","555550","2650","      13441.00"
"NESTLEIND","04-Oct-2019","28-Nov-2019","13500","13551.1","13500","13551.1","13551.1","13551.1","2","13.53","850","0","      13441.00"
"NESTLEIND","04-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","13628.35","0","0","0","0","      13441.00"
"NESTLEIND","07-Oct-2019","31-Oct-2019","13599.9","13753","13507.4","13635.1","13647.7","13635.1","1456","9943.44","545350","-10200","      13603.35"
"NESTLEIND","07-Oct-2019","28-Nov-2019","13743.55","13790","13709.9","13790","13790","13718.5","77","529.42","3650","2800","      13603.35"
"NESTLEIND","07-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","13780.95","0","0","0","0","      13603.35"
"NESTLEIND","09-Oct-2019","31-Oct-2019","13621.8","13970.55","13621.8","13902.5","13912","13902.5","1860","12844.02","542450","-2900","      13858.30"
"NESTLEIND","09-Oct-2019","28-Nov-2019","13761","13960","13761","13950.2","13960","13950.2","55","381.09","5750","2100","      13858.30"
"NESTLEIND","09-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","14034.95","0","0","0","0","      13858.30"
"NESTLEIND","10-Oct-2019","31-Oct-2019","13800","13868.35","13725.25","13843.25","13835.2","13843.25","848","5847.61","538900","-3550","      13819.85"
"NESTLEIND","10-Oct-2019","28-Nov-2019","13900","13900","13850","13900","13900","13900","3","20.83","5750","0","      13819.85"
"NESTLEIND","10-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","13995.55","0","0","0","0","      13819.85"
"NESTLEIND","11-Oct-2019","31-Oct-2019","13860.2","14130.45","13860.2","14090.65","14117.8","14090.65","1980","13889.27","551900","13000","      14032.40"
"NESTLEIND","11-Oct-2019","28-Nov-2019","14000","14195.3","13995.6","14149.1","14165","14149.1","29","204.19","6050","300","      14032.40"
"NESTLEIND","11-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","14206.45","0","0","0","0","      14032.40"
"NESTLEIND","14-Oct-2019","31-Oct-2019","14154.85","14234.1","14090.05","14161.05","14133","14161.05","1623","11494.92","545350","-6550","      14169.00"
"NESTLEIND","14-Oct-2019","28-Nov-2019","14249.95","14271.25","14151.05","14225.25","14220","14225.25","31","220.26","6350","300","      14169.00"
"NESTLEIND","14-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","14337.65","0","0","0","0","      14169.00"
"NESTLEIND","15-Oct-2019","31-Oct-2019","14202.3","14248.7","14084.35","14149.4","14154.5","14149.4","1950","13796.51","556500","11150","      14086.80"
"NESTLEIND","15-Oct-2019","28-Nov-2019","14220","14297.15","14142","14194.25","14184.45","14194.25","75","532.65","7100","750","      14086.80"
"NESTLEIND","15-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","14251.9","0","0","0","0","      14086.80"
"NESTLEIND","16-Oct-2019","31-Oct-2019","14140","14409.95","14112.7","14370.05","14406","14370.05","2174","15518.19","558400","1900","      14351.50"
"NESTLEIND","16-Oct-2019","28-Nov-2019","14200","14440","14162.35","14414.4","14440","14414.4","52","372.35","7500","400","      14351.50"
"NESTLEIND","16-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","14517.65","0","0","0","0","      14351.50"
"NESTLEIND","17-Oct-2019","31-Oct-2019","14440","14611.4","14201.25","14524.15","14550","14524.15","2503","18009.82","548500","-9900","      14516.85"
"NESTLEIND","17-Oct-2019","28-Nov-2019","14350","14651.95","14262","14572.4","14596.25","14572.4","65","470.29","8500","1000","      14516.85"
"NESTLEIND","17-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","14682.2","0","0","0","0","      14516.85"
"NESTLEIND","18-Oct-2019","31-Oct-2019","14514.15","14906.2","14421.7","14864.15","14882.15","14864.15","2879","21142.36","556950","8450","      14835.45"
"NESTLEIND","18-Oct-2019","28-Nov-2019","14500","14949","14500","14904.3","14949","14904.3","106","782.99","10200","1700","      14835.45"
"NESTLEIND","18-Oct-2019","26-Dec-2019","0","0","0","14149.9","0","15001.9","0","0","0","0","      14835.45"
"NESTLEIND","22-Oct-2019","31-Oct-2019","14999.6","15134","14851.3","15058.05","15134","15058.05","2327","17441.03","570250","13300","      15020.00"
