Date,Open,High,Low,Close,Adj Close,Volume
01-04-2019,10980,11121,10861.09961,10915.2002,10635.45313,81431
02-04-2019,10979.7002,10979.7002,10700,10786.79981,10510.3418,59609
03-04-2019,10947,11067,10780,11003.79981,10721.78027,74692
04-04-2019,11059,11059,10850,10961.79981,10680.8584,40177
05-04-2019,10935,11091,10900,10980.79981,10699.37012,26013
08-04-2019,10999,11050,10804.5,10850.59961,10572.50684,37049
09-04-2019,10889,10889,10740,10790,10513.46191,75730
10-04-2019,10792.5,10850,10730,10812,10534.89648,48089
11-04-2019,10795,10899,10690,10764.09961,10488.22363,93902
12-04-2019,10767.90039,11000,10764.29981,10973.79981,10692.54981,49737
15-04-2019,11000,11089,10891,10970.09961,10688.94531,84735
16-04-2019,11000,11219,10995,11155.79981,10869.88574,89355
18-04-2019,11186.40039,11240,10925,10954.5,10673.74512,56399
22-04-2019,10965,11125,10851.5,10879.90039,10601.05664,31883
23-04-2019,10940,10979,10872,10910.2002,10630.58008,25119
24-04-2019,10907.5,11029.5,10705,10833.40039,10555.74902,76358
25-04-2019,10890,10990,10780,10846.5,10568.5127,90249
26-04-2019,10851,11049.2002,10822,10971.2002,10690.0166,51412
30-04-2019,10900,10975,10854.7002,10905.29981,10650.07422,74238
02-05-2019,10905,10905,10403,10589.7002,10365.62402,44249
03-05-2019,10650,10650,10380,10485.7002,10263.82422,115448
06-05-2019,10400,10497.09961,10305,10364,10167,90136
07-05-2019,10401.5,10590,10401,10477.09961,10277.9502,72631
08-05-2019,10487.79981,10536,10275.7002,10298.29981,10102.54883,46391
09-05-2019,10295,10409,10200,10362.2002,10165.23438,46552
10-05-2019,10371.90039,10435.7002,10171,10231.2002,10036.72461,61273
13-05-2019,10262,10433.2002,10232.2002,10300,10104.2168,48042
14-05-2019,10310,10364.40039,10120,10198.7002,10004.84277,54275
15-05-2019,10401,10509,10211,10268.5,10073.31543,127190
16-05-2019,10332.7002,10401,10255,10280.5,10085.08691,39322
17-05-2019,10300,10546.2002,10256.79981,10465.7002,10266.7666,65704
20-05-2019,10680,10832,10560.29981,10768.2002,10563.5166,49555
21-05-2019,10850,10884.7002,10494,10609.2002,10407.53906,47182
22-05-2019,10650,10784.2002,10600,10700.5,10497.10352,31497
23-05-2019,10848,10989,10680,10797,10591.76953,56257
24-05-2019,10813,10849.90039,10592.29981,10660,10457.37305,49465
27-05-2019,10750,11083,10700,11036.2002,10826.42285,84400
28-05-2019,11040,11165,10950,11105.2002,10894.11133,133445
29-05-2019,11125,11296,10987.5,11206,10992.99512,128654
30-05-2019,11175.2002,11345,11170,11320.5,11105.31836,93421
31-05-2019,11350,11540,11303.5,11498.09961,11279.54199,70172
03-06-2019,11498.59961,11700,11498.59961,11686.5,11464.36133,64302
04-06-2019,11600,11698,11428,11552.29981,11332.71289,96144
06-06-2019,11552.29981,11684,11530,11603.29981,11382.74316,82658
07-06-2019,11610,11628,11451,11503.79981,11285.13477,43726
10-06-2019,11607.09961,11729,11376,11698.40039,11476.03516,48341
11-06-2019,11755,11817.7002,11498.09961,11623,11402.06836,72286
12-06-2019,11674,11715,11505,11695.5,11473.19043,43374
13-06-2019,11620,11661.5,11570,11613.79981,11393.04297,69156
14-06-2019,11615.5,11723.7002,11451,11489,11270.61523,40564
17-06-2019,11559,11629.7002,11425.7002,11480.79981,11262.57129,45786
18-06-2019,11505,11552,11300,11457.59961,11239.8125,55529
19-06-2019,11478.90039,11650.5,11450,11611.7002,11390.9834,69510
20-06-2019,11613,11759,11474.2002,11718,11495.2627,65396
21-06-2019,11710,11790,11539.2002,11600.90039,11380.38867,111980
24-06-2019,11600,11760,11550.2002,11712,11489.37695,24222
25-06-2019,11680,11737.2002,11613.5,11705.79981,11483.29492,37748
26-06-2019,11706,11950,11680.79981,11802.5,11578.15723,143213
27-06-2019,11810.29981,11866.90039,11684.5,11802.79981,11578.45117,93927
28-06-2019,11762,11940,11755,11912.59961,11686.16406,57069
01-07-2019,11984,12023.2002,11823.7002,11868.79981,11643.19629,40901
02-07-2019,11860,12005,11801,11964.79981,11737.37109,66647
03-07-2019,11964,11998.5,11780,11819.2002,11594.54004,63152
04-07-2019,11810,11970,11800,11884.5,11658.59766,23714
05-07-2019,11930,12000,11840,11956.90039,11729.62207,35376
08-07-2019,11929,11929,11752,11801.5,11577.17578,45507
09-07-2019,11819.79981,11824,11630,11687,11464.85254,61843
10-07-2019,11715,11795,11530,11550.5,11330.94727,44237
11-07-2019,11624,11624,11471.5,11506.79981,11288.07715,46492
12-07-2019,11507,11718,11507,11672.2002,11450.33301,27605
15-07-2019,11689,11689,11465.59961,11484.5,11266.20117,19432
16-07-2019,11632,11742,11487.09961,11708.7002,11486.13965,42449
17-07-2019,11706,11749.79981,11602.5,11695.40039,11473.09277,24922
18-07-2019,11726.79981,11743.59961,11542.5,11596.79981,11376.36621,47394
19-07-2019,11649.90039,11725,11512.29981,11547,11327.5127,86677
22-07-2019,11508,11562.5,11265,11304.7002,11089.81934,47464
23-07-2019,11305,11693,11305,11470.79981,11252.76074,61563
24-07-2019,11500,11619.79981,11298.79981,11479.90039,11261.68945,49740
25-07-2019,11509,11666.79981,11440,11495,11276.50195,53885
26-07-2019,11525,11671.5,11470,11623.2002,11402.26465,30544
29-07-2019,11600,11690,11479.2002,11620.2002,11399.32227,46052
30-07-2019,11673.79981,11690.5,11500,11536.5,11317.21289,34459
31-07-2019,11500,11740,11401,11675.90039,11453.96387,46971
01-08-2019,11664,11664,11445,11547,11327.5127,34623
02-08-2019,11425,11536.2002,11322.5,11411.5,11194.58887,56548
05-08-2019,11528,11950,11490,11712.79981,11490.16113,122980
06-08-2019,11710,11998,11701,11837.5,11612.49121,85992
07-08-2019,11790,11909.7002,11732.2002,11777.5,11553.63184,46996
08-08-2019,11800,11930,11775,11840.2002,11615.14063,36614
09-08-2019,11780,12268.5,11700,11993.29981,11946.95313,116548
13-08-2019,11962.2002,12193,11820,11893.5,11847.53906,77413
14-08-2019,11893.5,12159,11850.09961,12036.5,11989.98633,58376
16-08-2019,12099.90039,12107.90039,11906.90039,12004.40039,11958.01074,56885
19-08-2019,12090,12259.90039,12040,12066.59961,12019.96973,44883
20-08-2019,12114,12155.79981,11916.7002,11969.79981,11923.54395,67952
21-08-2019,11970,12646.5,11970,12594.09961,12545.43066,273006
